row_index,campaign,ad_group,row_type,keyword,field,old,new,reason
111,大阪府＿車内クリーニング,int大阪_通常清掃,ad,,Path 2,内クリーニング,車内清掃,通常清掃Path2統一
157,大阪府＿車内クリーニング,車 嘔吐 クリーニング,ad,,Path 2,嘔吐クリニング,嘔吐ニオイ清掃,Path2誤字修正（嘔吐クリニング）
247,大阪府＿車内クリーニング,車　 おしっこ,ad,,Path 2,おしっこ清掃,おしっこ消臭,Path2希望反映（おしっこ消臭）
369,大阪府＿車内クリーニング,AG_緊急_ペット,ad,,Path 2,おしっこ清掃,おしっこ消臭,Path2希望反映（おしっこ消臭）
370,大阪府＿車内クリーニング,AG_緊急_ペット,ad,,Path 2,おもらし清掃,おしっこ消臭,Path2希望反映（おしっこ消臭）
371,大阪府＿車内クリーニング,AG_緊急_ペット,ad,,Path 2,ペット粗相,おしっこ消臭,Path2希望反映（おしっこ消臭）
445,大阪府＿車内クリーニング,緊急_子供嘔吐,ad,,Path 2,ペットうんち,子供嘔吐清掃,Path2ペットうんち横断→slug=kodomo-kyuto
453,大阪府＿車内クリーニング,緊急_ペット,ad,,Path 2,お漏らし清掃,おしっこ消臭,Path2希望反映（おしっこ消臭）
454,大阪府＿車内クリーニング,緊急_ペット,ad,,Path 2,ペット清掃,おしっこ消臭,Path2希望反映（おしっこ消臭）
579,沖縄県＿車内クリーニング,車　 タバコの匂い汚れ・タバコのヤニ,ad,,Path 2,嘔吐ニオイ清掃,タバコヤニ清掃,Path2嘔吐横断→slug=tabako-yani
587,沖縄県＿車内クリーニング,車内の臭い,ad,,Path 2,嘔吐ニオイ清掃,車内臭い,Path2嘔吐横断→slug=shanai-nioi
598,沖縄県＿車内クリーニング,車　 エアコン臭い,ad,,Path 2,嘔吐ニオイ清掃,エアコン臭い,Path2嘔吐横断→slug=ac-nioi
601,沖縄県＿車内クリーニング,車　 ペット臭,ad,,Path 2,嘔吐ニオイ清掃,ペット臭消臭,Path2嘔吐横断→slug=pet-nioi
614,沖縄県＿車内クリーニング,車ペット毛,ad,,Path 2,嘔吐ニオイ清掃,ペット毛清掃,Path2嘔吐横断→slug=pet-ke
626,沖縄県＿車内クリーニング,車　 汗,ad,,Path 2,嘔吐ニオイ清掃,汗ニオイ清掃,Path2嘔吐横断→slug=ase
753,沖縄県＿車内クリーニング,int沖縄２515,ad,,Path 2,嘔吐ニオイ清掃,車内清掃,Path2嘔吐横断→slug=interior-cleaning
769,沖縄県＿車内クリーニング,車シート 洗浄,ad,,Path 2,嘔吐ニオイ清掃,シート洗浄,Path2嘔吐横断→slug=seat-senjo
772,沖縄県＿車内クリーニング,中古車加齢臭,ad,,Path 2,嘔吐ニオイ清掃,加齢臭消臭,Path2嘔吐横断→slug=chuko-kareisyu
780,沖縄県＿車内クリーニング,車シート クリーニング,ad,,Path 2,嘔吐ニオイ清掃,シート清掃,Path2嘔吐横断→slug=seat-cleaning
783,沖縄県＿車内クリーニング,車　 おもらし,ad,,Path 2,嘔吐ニオイ清掃,おもらし清掃,Path2嘔吐横断→slug=omorashi
790,沖縄県＿車内クリーニング,車　 うんこ,ad,,Path 2,嘔吐ニオイ清掃,うんこ清掃,Path2嘔吐横断→slug=unko
793,沖縄県＿車内クリーニング,車　 おしっこ,ad,,Path 2,嘔吐ニオイ清掃,おしっこ消臭,Path2嘔吐横断→slug=oshikko
796,沖縄県＿車内クリーニング,車　加齢臭,ad,,Path 2,嘔吐ニオイ清掃,加齢臭消臭,Path2嘔吐横断→slug=kareisyu
801,沖縄県＿車内クリーニング,中古車タバコ臭,ad,,Path 2,嘔吐ニオイ清掃,タバコ臭清掃,Path2嘔吐横断→slug=chuko-tabako
806,沖縄県＿車内クリーニング,車 嘔吐 クリーニング,ad,,Path 2,嘔吐クリニング,嘔吐ニオイ清掃,Path2誤字修正（嘔吐クリニング）
820,沖縄県＿車内クリーニング,車 匂い 消し・消臭洗浄,ad,,Path 2,嘔吐ニオイ清掃,匂い消し,Path2嘔吐横断→slug=kuruma-nioi-keshi
848,沖縄県＿車内クリーニング,AG_緊急_ペット,ad,,Path 2,嘔吐ニオイ清掃,おしっこ消臭,Path2嘔吐横断→slug=oshikko
849,沖縄県＿車内クリーニング,AG_緊急_ペット,ad,,Path 2,嘔吐ニオイ清掃,おしっこ消臭,Path2嘔吐横断→slug=oshikko
850,沖縄県＿車内クリーニング,AG_緊急_ペット,ad,,Path 2,嘔吐ニオイ清掃,おしっこ消臭,Path2嘔吐横断→slug=oshikko
858,沖縄県＿車内クリーニング,AG_消臭_口語,ad,,Path 2,嘔吐ニオイ清掃,匂い消し,Path2嘔吐横断→slug=kuruma-nioi-keshi
859,沖縄県＿車内クリーニング,AG_消臭_口語,ad,,Path 2,嘔吐ニオイ清掃,匂い消し,Path2嘔吐横断→slug=kuruma-nioi-keshi
860,沖縄県＿車内クリーニング,AG_消臭_口語,ad,,Path 2,嘔吐ニオイ清掃,匂い消し,Path2嘔吐横断→slug=kuruma-nioi-keshi
866,沖縄県＿車内クリーニング,AG_消臭_中古車,ad,,Path 2,嘔吐ニオイ清掃,タバコ臭清掃,Path2嘔吐横断→slug=chuko-tabako
867,沖縄県＿車内クリーニング,AG_消臭_中古車,ad,,Path 2,嘔吐ニオイ清掃,タバコ臭清掃,Path2嘔吐横断→slug=chuko-tabako
878,沖縄県＿車内クリーニング,AG_消臭_湿気カビ,ad,,Path 2,嘔吐ニオイ清掃,車内臭い,Path2嘔吐横断→slug=shanai-nioi
879,沖縄県＿車内クリーニング,AG_消臭_湿気カビ,ad,,Path 2,嘔吐ニオイ清掃,車内臭い,Path2嘔吐横断→slug=shanai-nioi
880,沖縄県＿車内クリーニング,AG_消臭_湿気カビ,ad,,Path 2,嘔吐ニオイ清掃,車内臭い,Path2嘔吐横断→slug=shanai-nioi
890,沖縄県＿車内クリーニング,AG_エアコン_エバポレーター,ad,,Path 2,嘔吐ニオイ清掃,エバポ洗浄,Path2嘔吐横断→slug=evaporator-senjo
891,沖縄県＿車内クリーニング,AG_エアコン_エバポレーター,ad,,Path 2,嘔吐ニオイ清掃,エバポ洗浄,Path2嘔吐横断→slug=evaporator-senjo
892,沖縄県＿車内クリーニング,AG_エアコン_エバポレーター,ad,,Path 2,嘔吐ニオイ清掃,エバポ洗浄,Path2嘔吐横断→slug=evaporator-senjo
900,沖縄県＿車内クリーニング,AG_条件_出張,ad,,Path 2,嘔吐ニオイ清掃,出張専門,Path2嘔吐横断→slug=shutchou-senmon
901,沖縄県＿車内クリーニング,AG_条件_出張,ad,,Path 2,嘔吐ニオイ清掃,出張専門,Path2嘔吐横断→slug=shutchou-senmon
902,沖縄県＿車内クリーニング,AG_条件_出張,ad,,Path 2,嘔吐ニオイ清掃,出張専門,Path2嘔吐横断→slug=shutchou-senmon
912,沖縄県＿車内クリーニング,AG_バス_トラック,ad,,Path 2,嘔吐ニオイ清掃,バス清掃,Path2嘔吐横断→slug=bus-senmon
923,沖縄県＿車内クリーニング,緊急_ペット,ad,,Path 2,嘔吐ニオイ清掃,おしっこ消臭,Path2嘔吐横断→slug=oshikko
924,沖縄県＿車内クリーニング,緊急_ペット,ad,,Path 2,嘔吐ニオイ清掃,おしっこ消臭,Path2嘔吐横断→slug=oshikko
934,沖縄県＿車内クリーニング,消臭_口語,ad,,Path 2,嘔吐ニオイ清掃,匂い消し,Path2嘔吐横断→slug=kuruma-nioi-keshi
935,沖縄県＿車内クリーニング,消臭_口語,ad,,Path 2,嘔吐ニオイ清掃,匂い消し,Path2嘔吐横断→slug=kuruma-nioi-keshi
936,沖縄県＿車内クリーニング,消臭_口語,ad,,Path 2,嘔吐ニオイ清掃,匂い消し,Path2嘔吐横断→slug=kuruma-nioi-keshi
943,沖縄県＿車内クリーニング,消臭_中古車,ad,,Path 2,嘔吐ニオイ清掃,タバコ臭清掃,Path2嘔吐横断→slug=chuko-tabako
944,沖縄県＿車内クリーニング,消臭_中古車,ad,,Path 2,嘔吐ニオイ清掃,タバコ臭清掃,Path2嘔吐横断→slug=chuko-tabako
947,沖縄県＿車内クリーニング,消臭_湿気カビ,ad,,Path 2,嘔吐ニオイ清掃,車内臭い,Path2嘔吐横断→slug=shanai-nioi
948,沖縄県＿車内クリーニング,消臭_湿気カビ,ad,,Path 2,嘔吐ニオイ清掃,車内臭い,Path2嘔吐横断→slug=shanai-nioi
949,沖縄県＿車内クリーニング,消臭_湿気カビ,ad,,Path 2,嘔吐ニオイ清掃,車内臭い,Path2嘔吐横断→slug=shanai-nioi
952,沖縄県＿車内クリーニング,エアコン_エバポレーター,ad,,Path 2,嘔吐ニオイ清掃,エバポ洗浄,Path2嘔吐横断→slug=evaporator-senjo
953,沖縄県＿車内クリーニング,エアコン_エバポレーター,ad,,Path 2,嘔吐ニオイ清掃,エバポ洗浄,Path2嘔吐横断→slug=evaporator-senjo
954,沖縄県＿車内クリーニング,エアコン_エバポレーター,ad,,Path 2,嘔吐ニオイ清掃,エバポ洗浄,Path2嘔吐横断→slug=evaporator-senjo
963,沖縄県＿車内クリーニング,AG_エアコン_エバポ,ad,,Path 2,嘔吐ニオイ清掃,エバポ洗浄,Path2嘔吐横断→slug=evaporator-senjo
964,沖縄県＿車内クリーニング,AG_エアコン_エバポ,ad,,Path 2,嘔吐ニオイ清掃,エバポ洗浄,Path2嘔吐横断→slug=evaporator-senjo
967,沖縄県＿車内クリーニング,条件_出張,ad,,Path 2,嘔吐ニオイ清掃,出張専門,Path2嘔吐横断→slug=shutchou-senmon
