priority,field,campaign,ad_group,row_type,current,suggested,note
CRITICAL,Final URL,愛知県＿車内クリーニング,int愛知_通常清掃,RSA,https://carinteriorcleaning.jp/regions/aichi/,https://carinteriorcleaning.jp/regions/aichi/interior-cleaning/,地域ハブ→通常清掃LP
CRITICAL,Final URL,群馬県＿車内クリーニング,int群馬_通常清掃,RSA,https://carinteriorcleaning.jp/regions/gunma/,https://carinteriorcleaning.jp/regions/gunma/interior-cleaning/,地域ハブ→通常清掃LP
CRITICAL,Final URL,千葉県＿車内クリーニング,int千葉_通常清掃,RSA,https://carinteriorcleaning.jp/regions/chiba/,https://carinteriorcleaning.jp/regions/chiba/interior-cleaning/,地域ハブ→通常清掃LP
CRITICAL,Final URL,宮城県＿車内クリーニング,int宮城_通常清掃,RSA,https://carinteriorcleaning.jp/regions/miyagi/,https://carinteriorcleaning.jp/regions/miyagi/interior-cleaning/,地域ハブ→通常清掃LP
CRITICAL,Final URL,栃木県＿車内クリーニング,int栃木_通常清掃,RSA,https://carinteriorcleaning.jp/regions/tochigi/,https://carinteriorcleaning.jp/regions/tochigi/interior-cleaning/,地域ハブ→通常清掃LP
CRITICAL,Final URL,大阪府＿車内クリーニング,車　 おもらし,KW:車 おもらし,https://carinteriorcleaning.jp/regions/osaka/oshikko/,https://carinteriorcleaning.jp/regions/osaka/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,大阪府＿車内クリーニング,AG_緊急_ペット,KW:車 おもらし シート 洗浄,https://carinteriorcleaning.jp/regions/osaka/oshikko/,https://carinteriorcleaning.jp/regions/osaka/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,沖縄県＿車内クリーニング,AG_緊急_ペット,KW:車 おもらし シート 洗浄,https://carinteriorcleaning.jp/regions/okinawa/oshikko/,https://carinteriorcleaning.jp/regions/okinawa/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,宮城県＿車内クリーニング,車　 おもらし,KW:車 おもらし,https://carinteriorcleaning.jp/regions/miyagi/oshikko/,https://carinteriorcleaning.jp/regions/miyagi/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,宮城県＿車内クリーニング,AG_緊急_ペット,KW:車 おもらし シート 洗浄,https://carinteriorcleaning.jp/regions/miyagi/oshikko/,https://carinteriorcleaning.jp/regions/miyagi/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,愛知県＿車内クリーニング,車　 おもらし,KW:車 おもらし,https://carinteriorcleaning.jp/regions/aichi/oshikko/,https://carinteriorcleaning.jp/regions/aichi/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,愛知県＿車内クリーニング,AG_緊急_ペット,KW:車 おもらし シート 洗浄,https://carinteriorcleaning.jp/regions/aichi/oshikko/,https://carinteriorcleaning.jp/regions/aichi/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,千葉県＿車内クリーニング,車　 おもらし,KW:車 おもらし,https://carinteriorcleaning.jp/regions/chiba/oshikko/,https://carinteriorcleaning.jp/regions/chiba/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,千葉県＿車内クリーニング,AG_緊急_ペット,KW:車 おもらし シート 洗浄,https://carinteriorcleaning.jp/regions/chiba/oshikko/,https://carinteriorcleaning.jp/regions/chiba/omorashi/,おもらしKWがおしっこLPに着地
