priority,issue,campaign,ad_group,keyword,quality_score,current_url,suggested_final_url,note
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 掃除,3,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 大阪,5,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 クリーニング,7,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 車内 清掃,5,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 洗浄,3,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 掃除,3,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 ゲロ クリーニング,4,,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 大阪 安い,3,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 の 室内 清掃,7,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 清掃 プロ,5,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 ルーム クリーニング,4,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 座席 クリーニング,5,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 内装 掃除,5,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,ルーム クリーニング 車,3,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
