severity,issue,campaign,ad_group,keyword,match_type,kw_theme,expected_theme,expected_slugs,actual_theme,actual_slug,final_url,suggested_url,status,line
CRITICAL,キーワードテーマとFinal URLが不一致,大阪府＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,Phrase,灯油,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/osaka/pet-ke/,https://carinteriorcleaning.jp/regions/osaka/touyu-kobosi/,Enabled,267
CRITICAL,キーワードテーマとFinal URLが不一致,宮城県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,Phrase,灯油,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/miyagi/pet-ke/,https://carinteriorcleaning.jp/regions/miyagi/touyu-kobosi/,Enabled,1313
CRITICAL,キーワードテーマとFinal URLが不一致,愛知県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,Phrase,灯油,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/aichi/pet-ke/,https://carinteriorcleaning.jp/regions/aichi/touyu-kobosi/,Enabled,1911
CRITICAL,キーワードテーマとFinal URLが不一致,千葉県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,Phrase,灯油,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/chiba/pet-ke/,https://carinteriorcleaning.jp/regions/chiba/touyu-kobosi/,Enabled,2512
CRITICAL,キーワードテーマとFinal URLが不一致,兵庫県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,Phrase,灯油,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/hyogo/pet-ke/,https://carinteriorcleaning.jp/regions/hyogo/touyu-kobosi/,Enabled,3111
CRITICAL,キーワードテーマとFinal URLが不一致,福岡県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,Phrase,灯油,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/fukuoka/pet-ke/,https://carinteriorcleaning.jp/regions/fukuoka/touyu-kobosi/,Enabled,3711
CRITICAL,キーワードテーマとFinal URLが不一致,群馬県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,Phrase,灯油,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/gunma/pet-ke/,https://carinteriorcleaning.jp/regions/gunma/touyu-kobosi/,Enabled,4303
CRITICAL,キーワードテーマとFinal URLが不一致,栃木県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,Phrase,灯油,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/tochigi/pet-ke/,https://carinteriorcleaning.jp/regions/tochigi/touyu-kobosi/,Enabled,4909
MEDIUM,キーワードテーマとFinal URLが不一致,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 嘔吐 臭い,Phrase,嘔吐,嘔吐/ゲロ/子供嘔吐/保険嘔吐/バス専門,kyuto-cleaning|vomit-cleaning|gero-cleaning|kodomo-kyuto|hoken-kyuto|bus-senmon,消臭脱臭,shanai-shoshu,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,Enabled,159
MEDIUM,キーワードテーマとFinal URLが不一致,大阪府＿車内クリーニング,AG_緊急_ペット,ペット 粗相 車 消臭,Phrase,ペットうんち,ペットうんち,pet-unko|pet-waste,おしっこ,oshikko,https://carinteriorcleaning.jp/regions/osaka/oshikko/,https://carinteriorcleaning.jp/regions/osaka/pet-unko/,Enabled,354
MEDIUM,キーワードテーマとFinal URLが不一致,大阪府＿車内クリーニング,AG_消臭_湿気カビ,車 湿気 臭い シート 洗浄,Phrase,シート洗浄,シート洗浄/シートクリーニング,seat-senjo|seat-washing|seat-cleaning,車内臭い,shanai-nioi,https://carinteriorcleaning.jp/regions/osaka/shanai-nioi/,https://carinteriorcleaning.jp/regions/osaka/seat-senjo/,Enabled,380
MEDIUM,キーワードテーマとFinal URLが不一致,大阪府＿車内クリーニング,消臭_中古車,消臭 中古車,Phrase,消臭脱臭,消臭脱臭/匂い消し/車内臭い,shanai-shoshu|kuruma-nioi-keshi|odor-removal|shanai-nioi,中古車タバコ,chuko-tabako,https://carinteriorcleaning.jp/regions/osaka/chuko-tabako/,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/,Enabled,452
MEDIUM,キーワードテーマとFinal URLが不一致,沖縄県＿車内クリーニング,車　 エアコン臭い,車 エアコン カビ,Phrase,カビ/湿気,車内臭い/カビ臭/エバポ/エアコンカビ,shanai-nioi|mold-odor|evaporator-senjo|ac-mold,エアコン臭い,ac-nioi,https://carinteriorcleaning.jp/regions/okinawa/ac-nioi/,https://carinteriorcleaning.jp/regions/okinawa/shanai-nioi/,Enabled,596
MEDIUM,キーワードテーマとFinal URLが不一致,沖縄県＿車内クリーニング,int沖縄２515,嘔吐 臭い 消し 車,Phrase,嘔吐,嘔吐/ゲロ/子供嘔吐/保険嘔吐/バス専門,kyuto-cleaning|vomit-cleaning|gero-cleaning|kodomo-kyuto|hoken-kyuto|bus-senmon,通常清掃,interior-cleaning,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,https://carinteriorcleaning.jp/regions/okinawa/kyuto-cleaning/,Enabled,643
MEDIUM,キーワードテーマとFinal URLが不一致,沖縄県＿車内クリーニング,int沖縄２515,車 シート 洗浄,Phrase,シート洗浄,シート洗浄/シートクリーニング,seat-senjo|seat-washing|seat-cleaning,通常清掃,interior-cleaning,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/,Paused,645
MEDIUM,キーワードテーマとFinal URLが不一致,沖縄県＿車内クリーニング,int沖縄２515,車 の シート 犬 の うんち,Phrase,うんこ,うんこ/ペットうんち,unko|pet-unko|pet-waste,通常清掃,interior-cleaning,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,https://carinteriorcleaning.jp/regions/okinawa/unko/,Paused,646
MEDIUM,キーワードテーマとFinal URLが不一致,沖縄県＿車内クリーニング,int沖縄２515,シート 洗浄 業者 腐敗臭,Phrase,シート洗浄,シート洗浄/シートクリーニング,seat-senjo|seat-washing|seat-cleaning,通常清掃,interior-cleaning,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/,Paused,648
MEDIUM,キーワードテーマとFinal URLが不一致,沖縄県＿車内クリーニング,int沖縄２515,タント 車内 汗 臭い 消 臭,Phrase,汗,汗,ase,通常清掃,interior-cleaning,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,https://carinteriorcleaning.jp/regions/okinawa/ase/,Paused,651
MEDIUM,キーワードテーマとFinal URLが不一致,沖縄県＿車内クリーニング,int沖縄２515,車 の シート 洗浄,Phrase,シート洗浄,シート洗浄/シートクリーニング,seat-senjo|seat-washing|seat-cleaning,通常清掃,interior-cleaning,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/,Paused,655
MEDIUM,キーワードテーマとFinal URLが不一致,沖縄県＿車内クリーニング,int沖縄２515,車 灯油 こぼした 臭い 消す,Phrase,灯油,灯油,touyu-kobosi,通常清掃,interior-cleaning,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,https://carinteriorcleaning.jp/regions/okinawa/touyu-kobosi/,Paused,656
