severity,campaign,ad_group,path2,actual_theme,actual_slug,final_url,headline2,line
HIGH,大阪府＿車内クリーニング,車内の臭い,嘔吐ニオイ清掃,車内臭い,shanai-nioi,https://carinteriorcleaning.jp/regions/osaka/shanai-nioi/,大阪府の車内の臭いクリーニング,4
HIGH,大阪府＿車内クリーニング,車　 汗,嘔吐ニオイ清掃,汗,ase,https://carinteriorcleaning.jp/regions/osaka/ase/,大阪府の車 汗クリーニング,5
HIGH,大阪府＿車内クリーニング,中古車タバコ臭,嘔吐ニオイ清掃,中古車タバコ,chuko-tabako,https://carinteriorcleaning.jp/regions/osaka/chuko-tabako/,中古車タバコ臭クリーニング,6
HIGH,大阪府＿車内クリーニング,中古車加齢臭,嘔吐ニオイ清掃,中古車加齢臭,chuko-kareisyu,https://carinteriorcleaning.jp/regions/osaka/chuko-kareisyu/,中古車加齢臭クリーニング,7
HIGH,大阪府＿車内クリーニング,車ペット毛,嘔吐ニオイ清掃,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/osaka/pet-ke/,大阪府の車ペット毛クリーニング,8
HIGH,大阪府＿車内クリーニング,車 匂い 消し・消臭洗浄,嘔吐ニオイ清掃,匂い消し,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,11
HIGH,大阪府＿車内クリーニング,車　 おもらし,嘔吐ニオイ清掃,おもらし,omorashi,https://carinteriorcleaning.jp/regions/osaka/omorashi/,大阪の車 おもらしくリーニング,12
HIGH,大阪府＿車内クリーニング,車　 エアコン臭い,嘔吐ニオイ清掃,エアコン臭い,ac-nioi,https://carinteriorcleaning.jp/regions/osaka/ac-nioi/,車 エアコン臭いクリーニング,13
HIGH,大阪府＿車内クリーニング,車　加齢臭,嘔吐ニオイ清掃,加齢臭,kareisyu,https://carinteriorcleaning.jp/regions/osaka/kareisyu/,大阪府の車 加齢臭クリーニング,14
HIGH,大阪府＿車内クリーニング,車　 ペット臭,嘔吐ニオイ清掃,ペット臭,pet-nioi,https://carinteriorcleaning.jp/regions/osaka/pet-nioi/,大阪の車 ペット臭クリーニング,15
HIGH,大阪府＿車内クリーニング,車シート 洗浄,嘔吐ニオイ清掃,シート洗浄,seat-senjo,https://carinteriorcleaning.jp/regions/osaka/seat-senjo/,大阪車シート 洗浄クリーニング,18
HIGH,大阪府＿車内クリーニング,車シート クリーニング,嘔吐ニオイ清掃,シートクリーニング,seat-cleaning,https://carinteriorcleaning.jp/regions/osaka/seat-cleaning/,大阪車シート クリーニング,19
HIGH,大阪府＿車内クリーニング,車　 おしっこ,嘔吐ニオイ清掃,おしっこ,oshikko,https://carinteriorcleaning.jp/regions/osaka/oshikko/,大阪の車 おしっこクリーニング,20
HIGH,大阪府＿車内クリーニング,車　 うんこ,嘔吐ニオイ清掃,うんこ,unko,https://carinteriorcleaning.jp/regions/osaka/unko/,大阪府の車 うんこクリーニング,21
HIGH,大阪府＿車内クリーニング,車の匂い取り,嘔吐ニオイ清掃,匂い取り,kuruma-nioitori,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioitori/,大阪の車の匂い取りクリーニング,22
HIGH,大阪府＿車内クリーニング,車　 タバコの匂い汚れ・タバコのヤニ,嘔吐ニオイ清掃,タバコヤニ,tabako-yani,https://carinteriorcleaning.jp/regions/osaka/tabako-yani/,車 タバコ匂い汚れクリーニング,23
HIGH,大阪府＿車内クリーニング,車内 灯油 こぼし,嘔吐ニオイ清掃,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/osaka/pet-ke/,車内 灯油 こぼしクリーニング,24
HIGH,沖縄県＿車内クリーニング,車　 タバコの匂い汚れ・タバコのヤニ,嘔吐ニオイ清掃,タバコヤニ,tabako-yani,https://carinteriorcleaning.jp/regions/okinawa/tabako-yani/,車 タバコ匂い汚れクリーニング,28
HIGH,沖縄県＿車内クリーニング,車内の臭い,嘔吐ニオイ清掃,車内臭い,shanai-nioi,https://carinteriorcleaning.jp/regions/okinawa/shanai-nioi/,沖縄県の車内の臭いクリーニング,29
HIGH,沖縄県＿車内クリーニング,車　 エアコン臭い,嘔吐ニオイ清掃,エアコン臭い,ac-nioi,https://carinteriorcleaning.jp/regions/okinawa/ac-nioi/,車 エアコン臭いクリーニング,30
HIGH,沖縄県＿車内クリーニング,車　 ペット臭,嘔吐ニオイ清掃,ペット臭,pet-nioi,https://carinteriorcleaning.jp/regions/okinawa/pet-nioi/,沖縄の車 ペット臭クリーニング,31
HIGH,沖縄県＿車内クリーニング,車ペット毛,嘔吐ニオイ清掃,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/okinawa/pet-ke/,沖縄県の車ペット毛クリーニング,34
HIGH,沖縄県＿車内クリーニング,車　 汗,嘔吐ニオイ清掃,汗,ase,https://carinteriorcleaning.jp/regions/okinawa/ase/,沖縄県の車 汗クリーニング,36
HIGH,沖縄県＿車内クリーニング,車シート 洗浄,嘔吐ニオイ清掃,シート洗浄,seat-senjo,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/,沖縄車シート 洗浄クリーニング,39
HIGH,沖縄県＿車内クリーニング,中古車加齢臭,嘔吐ニオイ清掃,中古車加齢臭,chuko-kareisyu,https://carinteriorcleaning.jp/regions/okinawa/chuko-kareisyu/,中古車加齢臭クリーニング,40
HIGH,沖縄県＿車内クリーニング,車シート クリーニング,嘔吐ニオイ清掃,シートクリーニング,seat-cleaning,https://carinteriorcleaning.jp/regions/okinawa/seat-cleaning/,沖縄の車シート クリーニング,41
HIGH,沖縄県＿車内クリーニング,車　 おもらし,嘔吐ニオイ清掃,おもらし,omorashi,https://carinteriorcleaning.jp/regions/okinawa/omorashi/,沖縄の車 おもらしくリーニング,42
HIGH,沖縄県＿車内クリーニング,車　 うんこ,嘔吐ニオイ清掃,うんこ,unko,https://carinteriorcleaning.jp/regions/okinawa/unko/,沖縄県の車 うんこクリーニング,43
HIGH,沖縄県＿車内クリーニング,車　 おしっこ,嘔吐ニオイ清掃,おしっこ,oshikko,https://carinteriorcleaning.jp/regions/okinawa/oshikko/,沖縄の車 おしっこクリーニング,44
