slug,n,avg_qs,lpe_below,enabled_lpe_below,avg_qs_enabled
kareisyu,1,1.0,1,1,1.0
omorashi,1,1.0,1,1,1.0
ac-nioi,10,2.3,10,8,2.25
kuruma-nioitori,9,2.33,9,9,2.33
kuruma-nioi-keshi,20,2.85,18,18,2.85
car-ac-cleaning,9,2.89,9,7,3.43
ase,1,3.0,1,1,3.0
chuko-kareisyu,1,3.0,1,1,3.0
oshikko,1,3.0,1,1,3.0
shanai-shoshu,22,3.91,12,12,3.91
evaporator-senjo,7,4.14,7,4,4.0
HUB,15,4.27,11,2,5.0
pet-nioi,3,4.33,1,1,4.33
(empty),20,4.5,15,0,
seat-senjo,11,4.64,11,11,4.64
unko,1,5.0,0,0,5.0
chuko-tabako,2,5.0,0,0,5.0
kyuto-cleaning,13,5.46,6,6,5.46
interior-cleaning,21,5.52,8,8,5.45
seat-cleaning,14,5.71,7,7,5.71
shutchou-senmon,1,8.0,0,0,8.0
