qs,keyword,status,lpe,ctr,rel,final_url,ad_group,campaign,slug
1,トラック 臭い 消し,Enabled,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/aichi-truck/,int トラック愛知,愛知県＿車内クリーニング,aichi-truck
1,車 おもらし,Enabled,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/tochigi/oshikko/,車　 おもらし,栃木県＿車内クリーニング,oshikko
1,車 の エアコン が 臭い,Enabled,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/okinawa/ac-nioi/,車　 エアコン臭い,沖縄県＿車内クリーニング,ac-nioi
1,車 の 内装 掃除,Paused,Below average,Below average,Below average,,int大阪_通常清掃,大阪府＿車内クリーニング,
1,車 エアコン カビ,Enabled,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/okinawa/ac-nioi/,車　 エアコン臭い,沖縄県＿車内クリーニング,ac-nioi
1,車 エアコンクリーニング,Paused,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/miyagi/car-ac-cleaning/,車 エアコンクリーニング,宮城県＿車内クリーニング,car-ac-cleaning
1,車 エアコンクリーニング,Paused,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/tochigi/car-ac-cleaning/,車 エアコンクリーニング,栃木県＿車内クリーニング,car-ac-cleaning
1,車 加齢臭,Enabled,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/aichi/kareisyu/,車　加齢臭,愛知県＿車内クリーニング,kareisyu
1,車 掃除,Paused,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
1,車 消臭,Enabled,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/tochigi/kuruma-nioi-keshi/,消臭_口語,栃木県＿車内クリーニング,kuruma-nioi-keshi
1,車 車内 消 臭,Enabled,Below average,Below average,Below average,,車内 消臭・脱臭洗浄,大阪府＿車内クリーニング,
