qs,lpe,ctr,rel,status,slug,campaign,ad_group,keyword,url
1,Below average,Below average,Below average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 の 内装 掃除,
1,Below average,Below average,Below average,Enabled,HUB,愛知県＿車内クリーニング,int トラック愛知,トラック 臭い 消し,https://carinteriorcleaning.jp/regions/aichi-truck/
1,Below average,Below average,Below average,Enabled,ac-nioi,沖縄県＿車内クリーニング,車　 エアコン臭い,車 の エアコン が 臭い,https://carinteriorcleaning.jp/regions/okinawa/ac-nioi/
1,Below average,Below average,Below average,Enabled,ac-nioi,沖縄県＿車内クリーニング,車　 エアコン臭い,車 エアコン カビ,https://carinteriorcleaning.jp/regions/okinawa/ac-nioi/
1,Below average,Below average,Below average,Paused,car-ac-cleaning,宮城県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,https://carinteriorcleaning.jp/regions/miyagi/car-ac-cleaning/
1,Below average,Below average,Below average,Paused,car-ac-cleaning,栃木県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,https://carinteriorcleaning.jp/regions/tochigi/car-ac-cleaning/
1,Below average,Below average,Below average,Enabled,interior-cleaning,群馬県＿車内クリーニング,int群馬_通常清掃,車内 クリーニング 専門 業者,https://carinteriorcleaning.jp/regions/gunma/interior-cleaning/
1,Below average,Below average,Below average,Enabled,interior-cleaning,栃木県＿車内クリーニング,int栃木_通常清掃,車内 清掃 プロ,https://carinteriorcleaning.jp/regions/tochigi/interior-cleaning/
1,Below average,Below average,Below average,Enabled,kareisyu,愛知県＿車内クリーニング,車　加齢臭,車 加齢臭,https://carinteriorcleaning.jp/regions/aichi/kareisyu/
1,Below average,Below average,Below average,Enabled,kuruma-nioi-keshi,栃木県＿車内クリーニング,消臭_口語,車 消臭,https://carinteriorcleaning.jp/regions/tochigi/kuruma-nioi-keshi/
1,Below average,Below average,Below average,Enabled,kuruma-nioitori,沖縄県＿車内クリーニング,車の匂い取り,車の匂い取り,https://carinteriorcleaning.jp/regions/okinawa/kuruma-nioitori/
1,Below average,Below average,Below average,Enabled,kuruma-nioitori,福岡県＿車内クリーニング,車の匂い取り,車の匂い取り,https://carinteriorcleaning.jp/regions/fukuoka/kuruma-nioitori/
1,Below average,Below average,Below average,Enabled,omorashi,栃木県＿車内クリーニング,車　 おもらし,車 おもらし,https://carinteriorcleaning.jp/regions/tochigi/omorashi/
1,Below average,Below average,Below average,Enabled,shanai-shoshu,愛知県＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 臭い,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/
1,Below average,Below average,Below average,Enabled,shanai-shoshu,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車 車内 消 臭,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/
2,Below average,Below average,Average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車 ルーム クリーニング,https://carinteriorcleaning.jp/regions/osaka-truck/
2,Below average,Below average,Average,Enabled,ac-nioi,福岡県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/fukuoka/ac-nioi/
2,Below average,Below average,Average,Enabled,ac-nioi,群馬県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/gunma/ac-nioi/
2,Below average,Below average,Average,Paused,ac-nioi,栃木県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/tochigi/ac-nioi/
2,Below average,Below average,Average,Enabled,car-ac-cleaning,大阪府＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,https://carinteriorcleaning.jp/regions/osaka/car-ac-cleaning/
2,Below average,Below average,Average,Enabled,car-ac-cleaning,福岡県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,https://carinteriorcleaning.jp/regions/fukuoka/car-ac-cleaning/
2,Below average,Below average,Average,Enabled,kuruma-nioi-keshi,大阪府＿車内クリーニング,消臭_口語,車 消臭,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/
2,Below average,Below average,Average,Enabled,kuruma-nioi-keshi,千葉県＿車内クリーニング,消臭_口語,車 消臭,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/
2,Below average,Below average,Average,Enabled,kuruma-nioi-keshi,兵庫県＿車内クリーニング,消臭_口語,車 消臭,https://carinteriorcleaning.jp/regions/hyogo/kuruma-nioi-keshi/
2,Below average,Below average,Average,Enabled,kuruma-nioi-keshi,福岡県＿車内クリーニング,消臭_口語,車 消臭,https://carinteriorcleaning.jp/regions/fukuoka/kuruma-nioi-keshi/
2,Below average,Below average,Average,Enabled,kuruma-nioi-keshi,群馬県＿車内クリーニング,消臭_口語,車 消臭,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioi-keshi/
2,Below average,Below average,Average,Enabled,kuruma-nioitori,大阪府＿車内クリーニング,車の匂い取り,車の匂い取り,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioitori/
2,Below average,Below average,Average,Enabled,kuruma-nioitori,宮城県＿車内クリーニング,車の匂い取り,車の匂い取り,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioitori/
2,Below average,Below average,Average,Enabled,kuruma-nioitori,千葉県＿車内クリーニング,車の匂い取り,車の匂い取り,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioitori/
2,Below average,Below average,Average,Enabled,kuruma-nioitori,兵庫県＿車内クリーニング,車の匂い取り,車の匂い取り,https://carinteriorcleaning.jp/regions/hyogo/kuruma-nioitori/
2,Below average,Below average,Average,Enabled,kuruma-nioitori,栃木県＿車内クリーニング,車の匂い取り,車の匂い取り,https://carinteriorcleaning.jp/regions/tochigi/kuruma-nioitori/
2,Below average,Below average,Average,Enabled,seat-cleaning,大阪府＿車内クリーニング,車シート クリーニング,自動車 シート 清掃,https://carinteriorcleaning.jp/regions/osaka/seat-cleaning/
2,Below average,Below average,Average,Enabled,shanai-shoshu,千葉県＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 臭い,https://carinteriorcleaning.jp/regions/chiba/shanai-shoshu/
2,Below average,Below average,Average,Enabled,shanai-shoshu,福岡県＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 臭い,https://carinteriorcleaning.jp/regions/fukuoka/shanai-shoshu/
2,Below average,Below average,Average,Enabled,shanai-shoshu,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 脱臭,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/
2,Below average,Below average,Average,Enabled,shanai-shoshu,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 臭い,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/
3,Below average,Average,Below average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,ルーム クリーニング 車,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 掃除,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 清掃,
3,Below average,Average,Below average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 大阪 安い,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 掃除,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 洗浄,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 清掃,
3,Below average,Below average,Above average,Enabled,HUB,福岡県＿車内クリーニング,int トラック福岡,トラック 臭い 消し,https://carinteriorcleaning.jp/regions/fukuoka-truck/
3,Average,Below average,Below average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車 の 内装 掃除,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車 エアコン 臭い,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車 車内 清掃,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車内 掃除,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車内 清掃,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Enabled,ac-nioi,大阪府＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/osaka/ac-nioi/
3,Below average,Below average,Above average,Paused,ac-nioi,宮城県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/miyagi/ac-nioi/
3,Below average,Below average,Above average,Enabled,ac-nioi,愛知県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/aichi/ac-nioi/
3,Below average,Below average,Above average,Enabled,ac-nioi,千葉県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/chiba/ac-nioi/
3,Below average,Below average,Above average,Enabled,ac-nioi,兵庫県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/hyogo/ac-nioi/
3,Below average,Below average,Above average,Enabled,ase,千葉県＿車内クリーニング,車　 汗,車 汗,https://carinteriorcleaning.jp/regions/chiba/ase/
3,Below average,Below average,Above average,Enabled,chuko-kareisyu,大阪府＿車内クリーニング,中古車加齢臭,中古車加齢臭,https://carinteriorcleaning.jp/regions/osaka/chuko-kareisyu/
3,Below average,Below average,Above average,Enabled,evaporator-senjo,大阪府＿車内クリーニング,AG_エアコン_エバポ,エアコン エバポレーター,https://carinteriorcleaning.jp/regions/osaka/evaporator-senjo/
3,Below average,Below average,Above average,Paused,evaporator-senjo,宮城県＿車内クリーニング,AG_エアコン_エバポ,エアコン エバポレーター,https://carinteriorcleaning.jp/regions/miyagi/evaporator-senjo/
