campaign,ad_group,keyword,match_type,quality_score,landing_page_experience,expected_ctr,ad_relevance,final_url,status
大阪府＿車内クリーニング,int大阪_通常清掃,車 の 内装 掃除,Phrase,1,Below average,Below average,Below average,,Paused
大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車 車内 消 臭,Phrase,1,Below average,Below average,Below average,,Enabled
大阪府＿車内クリーニング,int トラック大阪,車 掃除,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/osaka-truck/,Paused
沖縄県＿車内クリーニング,車　 エアコン臭い,車 の エアコン が 臭い,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/okinawa/ac-nioi/,Enabled
沖縄県＿車内クリーニング,車の匂い取り,車の匂い取り,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/okinawa/kuruma-nioitori/,Enabled
宮城県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/miyagi/car-ac-cleaning/,Paused
愛知県＿車内クリーニング,車　加齢臭,車 加齢臭,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/aichi/kareisyu/,Enabled
愛知県＿車内クリーニング,int トラック愛知,トラック 臭い 消し,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/aichi-truck/,Enabled
千葉県＿車内クリーニング,int千葉_通常清掃,車内 嘔吐 臭い 消し,Phrase,1,Below average,Below average,Below average,,Enabled
福岡県＿車内クリーニング,車の匂い取り,車の匂い取り,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/fukuoka/kuruma-nioitori/,Enabled
群馬県＿車内クリーニング,int群馬_通常清掃,車内 クリーニング 専門 業者,Phrase,1,Below average,Below average,Below average,,Enabled
群馬県＿車内クリーニング,消臭_口語,車 消臭,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioi-keshi/,Enabled
栃木県＿車内クリーニング,int栃木_通常清掃,車内 清掃 プロ,Phrase,1,Below average,Below average,Below average,,Enabled
栃木県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/tochigi/car-ac-cleaning/,Paused
栃木県＿車内クリーニング,消臭_口語,車 消臭,Phrase,1,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/tochigi/kuruma-nioi-keshi/,Enabled
大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 臭い,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/,Enabled
大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 脱臭,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/,Enabled
大阪府＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/ac-nioi/,Enabled
大阪府＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/car-ac-cleaning/,Enabled
大阪府＿車内クリーニング,車シート クリーニング,自動車 シート 清掃,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/seat-cleaning/,Enabled
大阪府＿車内クリーニング,車の匂い取り,車の匂い取り,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioitori/,Enabled
大阪府＿車内クリーニング,int トラック大阪,車 ルーム クリーニング,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka-truck/,Paused
大阪府＿車内クリーニング,消臭_口語,車 消臭,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,Enabled
宮城県＿車内クリーニング,車の匂い取り,車の匂い取り,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioitori/,Enabled
愛知県＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 臭い,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/,Enabled
愛知県＿車内クリーニング,車の匂い取り,車の匂い取り,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioitori/,Enabled
千葉県＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 臭い,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/chiba/shanai-shoshu/,Enabled
千葉県＿車内クリーニング,車の匂い取り,車の匂い取り,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioitori/,Enabled
千葉県＿車内クリーニング,消臭_口語,車 消臭,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,Enabled
兵庫県＿車内クリーニング,車の匂い取り,車の匂い取り,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/hyogo/kuruma-nioitori/,Enabled
兵庫県＿車内クリーニング,消臭_口語,車 消臭,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/hyogo/kuruma-nioi-keshi/,Enabled
福岡県＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 臭い,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/fukuoka/shanai-shoshu/,Enabled
福岡県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/fukuoka/ac-nioi/,Enabled
福岡県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/fukuoka/car-ac-cleaning/,Enabled
福岡県＿車内クリーニング,消臭_口語,車 消臭,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/fukuoka/kuruma-nioi-keshi/,Enabled
群馬県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/gunma/ac-nioi/,Enabled
栃木県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/tochigi/ac-nioi/,Paused
栃木県＿車内クリーニング,車の匂い取り,車の匂い取り,Phrase,2,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/tochigi/kuruma-nioitori/,Enabled
大阪府＿車内クリーニング,int大阪_通常清掃,車内 掃除,Phrase,3,Below average,Below average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 洗浄,Phrase,3,Below average,Below average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 掃除,Phrase,3,Below average,Below average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 大阪 安い,Broad,3,Below average,Average,Below average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,シート ベルト 嘔吐 臭い,Phrase,3,Average,Below average,Below average,https://carinteriorcleaning.jp/regions/osaka/specialist-cleaning/,Enabled
大阪府＿車内クリーニング,int大阪_通常清掃,ルーム クリーニング 車,Phrase,3,Below average,Average,Below average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 清掃,Phrase,3,Below average,Below average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 ゲロ 掃除,Phrase,3,Below average,Below average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 ゲロ 掃除,Phrase,3,Below average,Below average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 清掃,Phrase,3,Below average,Below average,Above average,,Paused
大阪府＿車内クリーニング,中古車加齢臭,中古車加齢臭,Phrase,3,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/chuko-kareisyu/,Enabled
大阪府＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,Phrase,3,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,Enabled
大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 剤,Phrase,3,Below average,Below average,Above average,,Enabled
大阪府＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,Phrase,3,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,Enabled
大阪府＿車内クリーニング,int トラック大阪,車内 清掃,Phrase,3,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,Paused
