Account	Account name	Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Start Date	End Date	Broad match keywords	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	DSA Website	DSA Language	DSA targeting source	DSA page feeds	Audience targeting	Flexible Reach	AI Max	Text customization	Final URL expansion	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Target CPV	Percent CPC	Target CPM	Target ROAS	Target CPC	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Display Network Custom Bid Type	Optimized targeting	Strict age and gender targeting	Search term matching	Ad Group Type	Channels	Audience name	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Remarketing audience exclusions	Tracking template	Final URL suffix	Custom parameters	ID	Location	Location type	Reach	Location groups	Radius	Unit	Bid Modifier	Account keyword type	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Image Size	Upgraded extension	Link source	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Shared set name	Shared set type	Keyword count	Link Text	Description Line 1	Description Line 2	Source	Header	Snippet Values	Callout text	Phone Number	Country of Phone	Conversion Action	Campaign Status	Ad Group Status	Status	Approval Status	Ad strength	Comment
426-779-6658	和歌山車	大阪府＿車内クリーニング																														int大阪_通常清掃																																																				https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	【92%満足】出張車内清掃	 -	【期間限定】今だけキャンペーン	 -	365日無休24時間受付中LINE対応	 -	{keyword:出張車内清掃}嘔吐（ゲロ）即対応	 -	"""車 シート クリーニング 業者"""	 -	立会不要で清掃作業で時間も有効	 -	出張車内 クリーニングの専門 店	 -	訪問特化型車内の清掃専門業者	 -	灯油 コーヒーこぼしおまかせ	 -	洗浄後無害になる特殊洗剤を使用	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	{LOCATION(City):大阪}【地元密着】車内清掃 特急便365日24時間受付中！電話で指定場所まで清掃に出張致します	 -	期間限定キャンペーン有！ 会社のお車を2台以上は、さらに割引 お得な出張車内クリーニング	 -	どこでも出張！ マンションや、会社の駐車場まで出張して、電源無しでも車内清掃のプロが作業	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	内クリーニング														Enabled	Enabled	Enabled	Approved	Excellent	
426-779-6658	和歌山車	大阪府＿車内クリーニング																														ペットうんち・車内除菌洗浄																																																				https://carinteriorcleaning.jp/regions/osaka/pet-unko/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	ペットうんち車内除菌洗浄	 -	最短即日対応！プロの消臭・洗浄	 -	【電話相談】まずはお電話を	 -	見積もり無料	 -	ペット粗相洗浄業者	 -	立会不要で清掃作業で時間も有効	 -	出張車内 クリーニングの専門 店	 -	訪問特化型車内の清掃専門業者	 -	ペットうんちクリーニング	 -	車 シート 汚れ 落とし 方	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	大阪で車ペットうんちの臭いや汚れにお困りなら。専用洗剤とプロの技術で徹底除去。	 -	車内のペットうんちは放置すると悪化します。今すぐ専門家へお任せください。	 -	出張費無料で駆けつけます！	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	ペットうんち														Enabled	Enabled	Enabled	Approved	Excellent	
426-779-6658	和歌山車	大阪府＿車内クリーニング																														車内の臭い																																																				https://carinteriorcleaning.jp/regions/osaka/shanai-nioi/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	大阪府の車内の臭いクリーニング	 -	最短即日対応！プロの消臭・洗浄	 -	【電話相談】まずはお電話を	 -	見積もり無料	 -	"""車 シート クリーニング 業者"""	 -	立会不要で清掃作業で時間も有効	 -	出張車内 クリーニングの専門 店	 -	訪問特化型車内の清掃専門業者	 -	灯油 コーヒーこぼしおまかせ	 -	洗浄後無害になる特殊洗剤を使用	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	大阪府で車内の臭いや汚れにお困りなら。専用洗剤とプロの技術で徹底除去。	 -	車内の車内の臭いは放置すると悪化します。今すぐ専門家へお任せください。	 -	出張費無料で駆けつけます！	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	消臭														Enabled	Enabled	Enabled	Approved	Excellent	
426-779-6658	和歌山車	大阪府＿車内クリーニング																														車　 汗																																																				https://carinteriorcleaning.jp/regions/osaka/ase/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	大阪府の車 汗クリーニング	 -	最短即日対応！プロの消臭・洗浄	 -	【電話相談】まずはお電話を	 -	見積もり無料	 -	"""車 シート クリーニング 業者"""	 -	立会不要で清掃作業で時間も有効	 -	出張車内 クリーニングの専門 店	 -	訪問特化型車内の清掃専門業者	 -	灯油 コーヒーこぼしおまかせ	 -	洗浄後無害になる特殊洗剤を使用	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	大阪府で車 汗の臭いや汚れにお困りなら。専用洗剤とプロの技術で徹底除去。	 -	車内の車 汗は放置すると悪化します。今すぐ専門家へお任せください。	 -	出張費無料で駆けつけます！	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	汗ニオイ清掃														Enabled	Enabled	Enabled	Approved	Excellent	
426-779-6658	和歌山車	大阪府＿車内クリーニング																														中古車タバコ臭																																																				https://carinteriorcleaning.jp/regions/osaka/chuko-tabako/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	中古車タバコ臭クリーニング	 -	最短即日対応！プロの消臭・洗浄	 -	【電話相談】まずはお電話を	 -	見積もり無料	 -	"""車 シート クリーニング 業者"""	 -	立会不要で清掃作業で時間も有効	 -	出張車内 クリーニングの専門 店	 -	訪問特化型車内の清掃専門業者	 -	灯油 コーヒーこぼしおまかせ	 -	洗浄後無害になる特殊洗剤を使用	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	大阪府で中古車タバコ臭の臭いや汚れにお困りなら。専用洗剤とプロの技術で徹底除去。	 -	車内の中古車タバコ臭は放置すると悪化します。今すぐ専門家へお任せください。	 -	出張費無料で駆けつけます！	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	ニオイ消臭														Enabled	Enabled	Enabled	Approved	Excellent	
426-779-6658	和歌山車	大阪府＿車内クリーニング																														中古車加齢臭																																																				https://carinteriorcleaning.jp/regions/osaka/chuko-kareisyu/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	中古車加齢臭クリーニング	 -	最短即日対応！プロの消臭・洗浄	 -	【電話相談】まずはお電話を	 -	見積もり無料	 -	"""車 シート クリーニング 業者"""	 -	立会不要で清掃作業で時間も有効	 -	出張車内 クリーニングの専門 店	 -	訪問特化型車内の清掃専門業者	 -	灯油 コーヒーこぼしおまかせ	 -	洗浄後無害になる特殊洗剤を使用	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	大阪府で中古車加齢臭の臭いや汚れにお困りなら。専用洗剤とプロの技術で徹底除去。	 -	車内の中古車加齢臭は放置すると悪化します。今すぐ専門家へお任せください。	 -	出張費無料で駆けつけます！	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	ニオイ清掃														Enabled	Enabled	Enabled	Approved	Excellent	
426-779-6658	和歌山車	大阪府＿車内クリーニング																														車ペット毛																																																				https://carinteriorcleaning.jp/regions/osaka/pet-ke/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	大阪府の車ペット毛クリーニング	 -	最短即日対応！プロの消臭・洗浄	 -	【電話相談】まずはお電話を	 -	見積もり無料	 -	"""車 シート クリーニング 業者"""	 -	立会不要で清掃作業で時間も有効	 -	出張車内 クリーニングの専門 店	 -	訪問特化型車内の清掃専門業者	 -	灯油 コーヒーこぼしおまかせ	 -	洗浄後無害になる特殊洗剤を使用	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	大阪府で車ペット毛の臭いや汚れにお困りなら。専用洗剤とプロの技術で徹底除去。	 -	車内の車ペット毛は放置すると悪化します。今すぐ専門家へお任せください。	 -	出張費無料で駆けつけます！	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	ペット毛清掃														Enabled	Enabled	Enabled	Approved	Excellent	
426-779-6658	和歌山車	大阪府＿車内クリーニング																														車 嘔吐 クリーニング																																																				https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	車 嘔吐 クリーニング	 -	最短即日対応！プロの消臭・洗浄	 -	【電話相談】まずはお電話を	 -	見積もり無料	 -	"""車 シート クリーニング 業者"""	 -	立会不要で清掃作業で時間も有効	 -	出張車内 クリーニングの専門 店	 -	訪問特化型車内の清掃専門業者	 -	灯油 コーヒーこぼしおまかせ	 -	車 シート 汚れ 落とし 方	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	大阪府で車嘔吐の臭いや汚れにお困りなら。専用洗剤とプロの技術で徹底除去。	 -	車内の嘔吐の臭いや汚れは放置すると悪化します。今すぐ専門家へお任せください。	 -	出張費無料で駆けつけます！	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	嘔吐クリニング														Enabled	Enabled	Enabled	Approved	Excellent	
426-779-6658	和歌山車	大阪府＿車内クリーニング																														車内 消臭・脱臭洗浄																																																				https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	車内 消臭脱臭洗浄	 -	最短即日対応！プロの消臭・洗浄	 -	【電話相談】まずはお電話を	 -	見積もり無料	 -	"""車内 消臭・脱臭洗浄 業者"""	 -	立会不要で清掃作業で時間も有効	 -	車内 消臭脱臭洗浄の専門 店	 -	訪問特化型車内の清掃専門業者	 -	車内の消臭や脱臭洗浄	 -	車 シート 汚れ 落とし 方	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	大阪府で車内 消臭脱臭洗浄臭いや汚れにお困りなら。専用洗剤とプロの技術で徹底除去。	 -	車内 消臭脱臭洗浄します。今すぐ専門家へお任せください。	 -	出張費無料で駆けつけます！	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	消臭脱臭洗浄														Enabled	Enabled	Enabled	Approved	Good	
426-779-6658	和歌山車	大阪府＿車内クリーニング																														車 匂い 消し・消臭洗浄																																																				https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/					Responsive search ad	【{LOCATION(City):大阪}】出張車内クリーニング	 -	車 匂い 消し・消臭洗浄	 -	最短即日対応！プロの消臭・洗浄	 -	【電話相談】まずはお電話を	 -	見積もり無料	 -	"""車 匂い 消し消臭洗浄 業者"""	 -	立会不要で清掃作業で時間も有効	 -	車 匂い 消し消臭洗浄の専門 店	 -	訪問特化型車内の清掃専門業者	 -	灯油 コーヒーこぼしもおまかせ	 -	車 シート 汚れ 落とし	 -	18000円からシート車内洗浄対応	 -	１シートのみでもOK 圧倒的洗浄	 -	"""軽 自動車 クリーニング"""	 -	"""車 灯油 こぼし クリーニング"""	 -	大阪府で車の臭いや汚れにお困りなら。専用洗剤とプロの技術で徹底除去。	 -	車の臭いや汚れは放置すると悪化します。今すぐ専門家へお任せください。	 -	出張費無料で駆けつけます！	 -	使用後は無害になる特殊な洗剤を使用 清掃後は赤ちゃんペットにも無害です。専用の機材を使用	 -	{LOCATION(City):大阪}清掃出張車	ニオイ清掃														Enabled	Enabled	Enabled	Approved	Excellent	
